"ID","ID_FLUSSO","ANNO_PRA","NUM_PRA","COD_NUC","PRG_NUC","DAT_ACQUISIZIONE_DOC","PERCORSO_DOC","DAT_POPOLA_PILOTA"
"211245","202504","2024","00091281","014893","1",,,"23/04/2025"
"211701","202504","2025","00030897","020527","1",,,"23/04/2025"
"211953","202504","2025","00030898","019823","1",,,"23/04/2025"
"212082","202504","2025","00030899","014460","1",,,"23/04/2025"
"212812","202504","2025","00030900","033711","1",,,"23/04/2025"
"212646","202504","2025","00030901","032827","1",,,"23/04/2025"
"206978","202504","2025","00030902","033679","1",,,"23/04/2025"
"209333","202504","2025","00030903","033703","1",,,"23/04/2025"
"214309","202504","2025","00030904","020300","1",,,"23/04/2025"
"215071","202504","2025","00030905","033709","1",,,"23/04/2025"
"215860","202504","2025","00030906","033689","1",,,"23/04/2025"
"207758","202504","2024","00091282","019460","1",,,"23/04/2025"
"213441","202504","2024","00091283","020588","1",,,"23/04/2025"
"210392","202504","2025","00030907","033663","1",,,"23/04/2025"
"212324","202504","2025","00030908","033653","1",,,"23/04/2025"
"212896","202504","2025","00030909","033683","1",,,"23/04/2025"
"210019","202504","2025","00030910","019272","1",,,"23/04/2025"
"217260","202505","2025","00036289","019297","1",,,"13/05/2025"
"218212","202505","2025","00036290","034287","1",,,"13/05/2025"
"218620","202505","2025","00036291","034298","1",,,"13/05/2025"
"220135","202505","2025","00036292","034325","1",,,"13/05/2025"
"216528","202505","2025","00036293","021292","1",,,"13/05/2025"
"220592","202505","2025","00036164","034337","1",,,"13/05/2025"
"220857","202505","2024","00091580","034336","1",,,"13/05/2025"
"221715","202505","2025","00036165","034360","1",,,"13/05/2025"
"217739","202505","2025","00036166","034272","1",,,"13/05/2025"
"220242","202505","2025","00036167","034312","1",,,"13/05/2025"
"220912","202505","2024","00091581","034323","1",,,"13/05/2025"
"221793","202505","2025","00036168","034385","1",,,"13/05/2025"
"216930","202505","2025","00036169","034386","1",,,"13/05/2025"
"217326","202505","2025","00036170","034372","1",,,"13/05/2025"
"221602","202505","2024","00091582","034301","1",,,"13/05/2025"
"218741","202505","2025","00036171","034356","1",,,"13/05/2025"
"220466","202505","2025","00036172","030197","1",,,"13/05/2025"
"220945","202505","2025","00036173","034273","1",,,"13/05/2025"
"221353","202505","2024","00091583","034330","1",,,"13/05/2025"
"218751","202505","2025","00036174","034284","1",,,"13/05/2025"
"219394","202505","2025","00036175","034361","1",,,"13/05/2025"
"218512","202505","2025","00036176","014688","1",,,"13/05/2025"
"219110","202505","2025","00036177","019667","1",,,"13/05/2025"
"219336","202505","2025","00036178","020610","1",,,"13/05/2025"
"213894","202505","2024","00091584","034282","1",,,"13/05/2025"
"219390","202505","2025","00036179","033650","1",,,"13/05/2025"
"219653","202505","2025","00036180","034304","1",,,"13/05/2025"
"218788","202505","2025","00036181","020276","1",,,"13/05/2025"
"219761","202505","2025","00036182","034322","1",,,"13/05/2025"
"220243","202505","2025","00036183","034312","1",,,"13/05/2025"
"220825","202505","2024","00091585","034332","1",,,"13/05/2025"
"221201","202505","2025","00036184","034312","1",,,"13/05/2025"
"218028","202505","2025","00036185","020359","1",,,"13/05/2025"
"221084","202505","2025","00036186","034300","1",,,"13/05/2025"
"221266","202505","2024","00091586","034358","1",,,"13/05/2025"
"217483","202505","2025","00036187","033668","1",,,"13/05/2025"
"219688","202505","2025","00036188","034276","1",,,"13/05/2025"
"218523","202505","2025","00036189","034302","1",,,"13/05/2025"
"218785","202505","2025","00036190","034353","1",,,"13/05/2025"
"219858","202505","2025","00036191","020554","1",,,"13/05/2025"
"217661","202505","2025","00036192","034269","1",,,"13/05/2025"
"219372","202505","2025","00036193","034387","1",,,"13/05/2025"
"220046","202505","2025","00036194","034303","1",,,"13/05/2025"
"220513","202505","2025","00036195","034354","1",,,"13/05/2025"
"220660","202505","2025","00036196","034283","1",,,"13/05/2025"
"213389","202505","2025","00036197","020342","1",,,"13/05/2025"
"214611","202505","2025","00036198","034327","1",,,"13/05/2025"
"218408","202505","2025","00036199","015205","1",,,"13/05/2025"
"220132","202505","2025","00036200","034348","1",,,"13/05/2025"
"220333","202505","2025","00036201","034365","1",,,"13/05/2025"
"221646","202505","2025","00036202","032795","1",,,"13/05/2025"
"217374","202505","2025","00036203","020492","1",,,"13/05/2025"
"217906","202505","2025","00036204","034317","1",,,"13/05/2025"
"218507","202505","2024","00091587","034385","1",,,"13/05/2025"
"218508","202505","2024","00091588","034385","1",,,"13/05/2025"
"218509","202505","2024","00091589","034385","1",,,"13/05/2025"
"221198","202505","2025","00036205","034312","1",,,"13/05/2025"
"221354","202505","2024","00091590","030170","1",,,"13/05/2025"
"217981","202505","2025","00036206","034373","1",,,"13/05/2025"
"221716","202505","2025","00036207","020336","1",,,"13/05/2025"
"217714","202505","2025","00036208","020605","1",,,"13/05/2025"
"219490","202505","2025","00036209","034364","1",,,"13/05/2025"
"221355","202505","2025","00036210","034330","1",,,"13/05/2025"
"218973","202505","2025","00036211","034307","1",,,"13/05/2025"
"219978","202505","2025","00036212","034338","1",,,"13/05/2025"
"220447","202505","2025","00036213","034286","1",,,"13/05/2025"
"221071","202505","2024","00091591","034331","1",,,"13/05/2025"
"217655","202505","2025","00036278","015130","1",,,"13/05/2025"
"221064","202505","2025","00036279","030191","1",,,"13/05/2025"
"221274","202505","2025","00036280","034350","1",,,"13/05/2025"
"221607","202505","2025","00036281","034301","1",,,"13/05/2025"
"218602","202505","2025","00036282","034305","1",,,"13/05/2025"
"220390","202505","2025","00036283","014311","1",,,"13/05/2025"
"221553","202505","2025","00036284","034278","1",,,"13/05/2025"
"219398","202505","2025","00036285","034359","1",,,"13/05/2025"
"219416","202505","2025","00036286","034333","1",,,"13/05/2025"
"219783","202505","2025","00036287","034357","1",,,"13/05/2025"
"220176","202505","2025","00036288","034346","1",,,"13/05/2025"
"213943","202505","2025","00036318","014685","1",,,"13/05/2025"
"218064","202505","2025","00036319","034285","1",,,"13/05/2025"
"217363","202505","2025","00036335","015183","1",,,"13/05/2025"
"217836","202505","2025","00036336","019798","1",,,"13/05/2025"
"218280","202505","2025","00036337","034279","1",,,"13/05/2025"
"218290","202505","2025","00036338","034340","1",,,"13/05/2025"
"218401","202505","2025","00036339","019488","1",,,"13/05/2025"
