"COD_ACC","COD_ENTE","DES_ACC","FLG_BONUS_MALUS_ANNUALE","FLG_RATEIZZAZIONE","DAT_INI","DAT_FIN","FLG_SOSP","COD_SPESE","FLG_ACC_BR"
"0062","0058","CAMINADA THINK PLASTIC","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0080","0037","MITUTELA ASCOM 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0081","0051","MMB SRL 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0082","0057","AUBAY 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0083","0044","BANCO BILBAO 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0084","0011","TECHNIP 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0085","0054","DKV EURO SERVICE ITALIA","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0021","0018","MANUFACTURES DIOR 2023","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0022","0019","ENTE MORALE 2023","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0035","0032","FONDO TUTELA SATOR SPA","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0037","0034","COMUNE DI BOLOGNA","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0059","0055","J INVEST","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0068","0064","EPIKARD","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0146","0038","C.A.S.S.A. 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0050","0046","JULIA PORTFOLIO SOLUTIONS","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0063","0059","STUDIO DIANA SRL","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
