"COD_ACC","PRG_CONV","OPZIONE","TIPOISCRIZIONE","TIPOOPZIONE","INTEGR_SOST","FLG_INVIOSINISTRIADE","FLG_INVIOCONTRIBUTIADE"
"0098","111","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0142","13","ASSIDAI","PRESIDIUM SPA",,"SOSTITUTIVA","S","N"
"0098","121","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","124","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","125","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","127","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","128","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","265","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","132","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","141","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","328","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","146","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","147","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","148","FONDO TUTELA","INSER",,"INTEGRATIVA","S","N"
"0098","193","FONDO TUTELA","INSER",,"INTEGRATIVA","S","N"
"0098","191","FONDO TUTELA","INSER",,"INTEGRATIVA","S","N"
"0142","14","ASSIDAI","PRESIDIUM SPA",,"SOSTITUTIVA","S","N"
"0098","194","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","195","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","196","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","197","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","200","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","198","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","201","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0142","15","ASSIDAI","PRESIDIUM SPA",,"SOSTITUTIVA","S","N"
"0098","203","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0142","17","ASSIDAI","PRESIDIUM SPA",,"SOSTITUTIVA","S","N"
"0159","1","SANINT","AGENZIA ALLIANZ MILANO 3",,"SOSTITUTIVA","S","N"
"0098","320","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","134","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","47","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","283","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","46","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","48","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","50","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","159","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","52","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","53","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","54","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","55","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","56","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","57","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","58","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","59","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","60","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","61","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","62","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","63","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","64","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","66","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","67","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","68","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","69","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","70","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","71","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","72","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","73","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","74","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","75","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","76","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","77","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","78","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","79","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","80","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","81","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","82","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","83","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","84","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","85","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","86","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","87","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","88","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","89","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","90","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","91","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","92","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","93","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","94","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","95","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","96","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","97","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","98","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","99","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","100","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","101","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","102","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","103","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","104","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","105","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","106","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","107","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","108","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","110","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","111","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","112","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","113","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","114","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","116","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","117","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","118","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","119","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","120","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","121","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","122","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","123","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","124","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","125","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","160","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","251","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","254","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","252","FONDO TUTELA","INSER",,"SOSTITUTIVA","N","N"
"0019","253","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","255","FONDO TUTELA","INSER",,"INTEGRATIVA","S","N"
"0019","256","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","257","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","258","FONDO TUTELA","INSER",,"INTEGRATIVA","S","N"
"0019","1","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","94","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","95","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","97","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","98","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","266","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0131","1","PREVIASS II","WILLIS TOWER WATSON",,"INTEGRATIVA","S","N"
"0131","2","PREVIASS II","WILLIS TOWER WATSON",,"SOSTITUTIVA","S","N"
"0127","1","PREVIASS II","WILLIS TOWER WATSON",,"INTEGRATIVA","S","N"
"0127","2","PREVIASS II","WILLIS TOWER WATSON",,"SOSTITUTIVA","S","N"
"0207","1","PREVIASS II","WILLIS TOWER WATSON",,"SOSTITUTIVA","S","N"
"0207","2","PREVIASS II","WILLIS TOWER WATSON",,"SOSTITUTIVA","S","N"
"0133","1","PREVIASS II","WILLIS TOWER WATSON",,"INTEGRATIVA","S","N"
"0212","1","PREVIASS II","WILLIS TOWER WATSON",,"INTEGRATIVA","S","N"
"0134","1","PREVIASS II","WILLIS TOWER WATSON",,"SOSTITUTIVA","S","N"
"0157","3","SANINT","AGENZIA ALLIANZ MILANO 3",,"SOSTITUTIVA","S","N"
"0193","1","PREVIASS II","WILLIS TOWER WATSON",,"SOSTITUTIVA","S","N"
"0217","167","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","150","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","267","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","173","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0202","12","SAS","PCA",,"SOSTITUTIVA","S","N"
"0098","261","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","5","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","131","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0202","2","SAS","PCA",,"SOSTITUTIVA","S","N"
"0005","3","AON","AON",,"SOSTITUTIVA","S","N"
"0005","5","AON","AON",,"INTEGRATIVA","S","N"
"0005","4","AON","AON",,"INTEGRATIVA","S","N"
"0088","145","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0202","3","SAS","PCA",,"SOSTITUTIVA","S","N"
"0088","149","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0108","11","PALLADINI & PARTNERS","AGENZIA ALBA 90 (PALLADINI & PARTNERS)",,"INTEGRATIVA","N","N"
"0202","4","SAS","PCA",,"SOSTITUTIVA","S","N"
"0098","289","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0146","1","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0088","158","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","17","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0202","6","SAS","PCA",,"SOSTITUTIVA","S","N"
"0098","330","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","167","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0202","7","SAS","PCA",,"SOSTITUTIVA","S","N"
"0098","208","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","115","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0106","1","CASSA DIPENDENTI CASINO","AGENZIA ALLIANZ AOSTA",,"SOSTITUTIVA","S","N"
"0192","1","SANINT","AGENZIA ALLIANZ MILANO 3",,"SOSTITUTIVA","S","N"
"0217","228","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0146","3","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0181","9","PREVIP","GCF ASSICURAZIONI",,"SOSTITUTIVA","S","N"
"0146","14","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0084","2","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0098","88","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","89","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0180","4","SAS","PCA",,"SOSTITUTIVA","S","N"
"0180","12","SAS","PCA",,"SOSTITUTIVA","S","N"
"0098","176","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","175","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0146","4","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0146","5","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0146","6","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0146","7","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0146","8","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0146","9","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0146","10","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0146","15","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0146","16","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0217","186","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0146","17","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0146","19","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0146","20","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0146","21","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0146","22","C.A.S.S.A.","ASSITECA",,"INTEGRATIVA","S","N"
"0079","1","CASSA RISPARMIO DI LUCCA","AGENZIA BAGNI DI LUCCA (PRISMA INSURANCE BROKER)",,"SOSTITUTIVA","S","N"
"0217","168","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0178","7","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0125","2","PREVIP","MUNICH RE",,"SOSTITUTIVA","S","N"
"0098","282","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","182","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","298","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","295","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0178","6","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0217","174","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","161","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0178","10","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0163","1","EBIPRO","CIVITUS",,"SOSTITUTIVA","N","N"
"0024","2","BANCO DI SICILIA","AGENZIA PALERMO EMMEGROUP",,"SOSTITUTIVA","N","N"
"0024","1","BANCO DI SICILIA","AGENZIA PALERMO EMMEGROUP",,"SOSTITUTIVA","N","N"
"0039","2","PREVIASS II","WILLIS TOWER WATSON",,"SOSTITUTIVA","S","N"
"0088","138","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0166","8","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0166","9","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0166","10","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0166","24","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0166","29","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0098","290","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","291","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","140","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0166","30","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0157","2","SANINT","AGENZIA ALLIANZ MILANO 3",,"SOSTITUTIVA","S","N"
"0166","32","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0166","48","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0166","74","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0217","175","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0146","23","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0098","293","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","302","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","297","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","299","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0217","176","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0217","177","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0088","130","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0197","1","SANINT","AGENZIA ALLIANZ MILANO 3",,"SOSTITUTIVA","S","N"
"0005","7","AON","AON",,"SOSTITUTIVA","S","N"
"0197","2","SANINT","AGENZIA ALLIANZ MILANO 3",,"SOSTITUTIVA","S","N"
"0142","6","ASSIDAI","PRESIDIUM SPA",,"SOSTITUTIVA","S","N"
"0159","2","SANINT","AGENZIA ALLIANZ MILANO 3",,"SOSTITUTIVA","S","N"
"0217","142","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","63","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","83","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","80","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0090","2","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0217","141","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0077","2","CASSA BISALUS","VERSPIEREN",,"SOSTITUTIVA","S","N"
"0098","263","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0221","2","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","287","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0166","62","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0120","1","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0118","1","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0172","2","CASSA SAS","CIVITUS","OPZ B","SOSTITUTIVA","N","N"
"0123","2","PREVIP","MILANO CENTRO",,"SOSTITUTIVA","S","N"
"0098","312","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0077","1","CASSA BISALUS","VERSPIEREN",,"SOSTITUTIVA","S","N"
"0090","3","FONDO TUTELA","INSER",,"INTEGRATIVA","S","N"
"0174","2","CASSA BISALUS","VERSPIEREN",,"INTEGRATIVA","S","N"
"0217","143","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0175","2","CASSA BISALUS","VERSPIEREN",,"INTEGRATIVA","S","N"
"0098","315","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0177","2","PREVIP","FUNK INTERNATIONAL SPA",,"SOSTITUTIVA","S","N"
"0164","1","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0098","204","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0166","61","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0088","144","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0164","2","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0166","53","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0098","284","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","277","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0019","187","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0217","149","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0217","144","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0219","2","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","N","N"
"0098","281","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0217","145","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0188","1","PREVIP","MILANO CENTRO",,"SOSTITUTIVA","S","N"
"0217","150","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0123","1","PREVIP","MILANO CENTRO",,"SOSTITUTIVA","S","N"
"0166","65","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0217","148","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0057","1","PREVIP","PRESIDIUM SPA",,"SOSTITUTIVA","S","N"
"0067","1","PREVIP","PRESIDIUM SPA",,"SOSTITUTIVA","S","N"
"0221","4","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0047","1","PREVIP","MILANO CENTRO",,"SOSTITUTIVA","N","N"
"0098","8","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0217","151","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0217","152","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0059","1","PREVIP","MILANO CENTRO",,"SOSTITUTIVA","S","N"
"0059","2","PREVIP","MILANO CENTRO",,"SOSTITUTIVA","S","N"
"0019","97","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0185","11","ASSIDAI","PRESIDIUM SPA",,"SOSTITUTIVA","S","N"
"0088","157","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0108","16","PALLADINI & PARTNERS","AGENZIA ALBA 90 (PALLADINI & PARTNERS)",,"SOSTITUTIVA","N","N"
"0104","1","PREVIP","PRESIDIUM SPA",,"SOSTITUTIVA","S","N"
"0098","322","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","262","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","329","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0106","2","CASSA DIPENDENTI CASINO","AGENZIA ALLIANZ AOSTA",,"SOSTITUTIVA","S","N"
"0125","3","PREVIP","MUNICH RE",,"SOSTITUTIVA","S","N"
"0110","2","CASSA PREVILINE ASSISTANCE","AON",,"SOSTITUTIVA","S","N"
"0125","14","PREVIP","MUNICH RE",,"SOSTITUTIVA","S","N"
"0221","3","FONDO TUTELA","INSER",,"INTEGRATIVA","S","N"
"0098","66","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","17","FONDO TUTELA","INSER",,"INTEGRATIVA","S","N"
"0088","146","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","305","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0166","31","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0098","58","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0170","1","MPT",,,,"N","N"
"0098","59","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","61","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","67","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","68","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","69","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","332","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","74","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","75","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","77","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","78","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","81","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","82","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","84","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0084","4","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0088","147","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","S","N"
"0146","11","C.A.S.S.A.","ASSITECA",,"SOSTITUTIVA","S","N"
"0084","5","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0084","6","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0098","307","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0219","3","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","N","N"
"0084","7","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0090","4","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","99","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0125","13","PREVIP","MUNICH RE",,"SOSTITUTIVA","S","N"
"0084","8","PREVIASS II","AGENZIA 569",,"SOSTITUTIVA","S","N"
"0084","1","PREVIASS II","AGENZIA ROMA MONTE SACRO (WILLIS ITALIA S.P.A.)",,"SOSTITUTIVA","S","N"
"0219","5","MUTUA MITUTELA","INSER",,"SOSTITUTIVA","N","N"
"0098","234","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0098","268","FONDO TUTELA","INSER",,"SOSTITUTIVA","S","N"
"0166","25","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0074","1","PREVIP","ROMA TRIONFALE",,"SOSTITUTIVA","S","N"
"0166","70","MUTUA SAS","ASSIPARIOLI",,"SOSTITUTIVA","S","S"
"0050","1","PREVIP","AGENZIA DI CODROIPO",,"SOSTITUTIVA","S","N"
"0050","2","PREVIP","AGENZIA DI CODROIPO",,"SOSTITUTIVA","S","N"
"0050","3","PREVIP","AGENZIA DI CODROIPO",,"SOSTITUTIVA","S","N"
